name,n,method,model_path,score,T,CNOT,depth,peak_ancilla,correct,time_s
large_n10_2,10,and_resource_nmcts,random-prior:6,4349.829999999999,3848,6603,6612,7,True,798.13
large_n10_2,10,and_resource_nmcts,random-prior:7,4349.829999999999,3848,6603,6612,7,True,798.6
large_n10_3,10,and_resource_nmcts,random-prior:5,4359.47,3856,6623,6636,7,True,443.72
large_n10_3,10,and_resource_nmcts,random-prior:4,4359.47,3856,6623,6636,7,True,444.57
large_n10_4,10,and_resource_nmcts,,4451.279999999999,3936,6783,6797,7,True,323.85
large_n10_4,10,and_resource_nmcts,models/action_scorer_v2.pt,4451.279999999999,3936,6783,6797,7,True,323.61
large_n10_4,10,and_resource_nmcts,random-prior:1,4451.279999999999,3936,6783,6797,7,True,316.82
large_n10_4,10,and_resource_nmcts,random-prior:0,4451.279999999999,3936,6783,6797,7,True,319.44
large_n10_3,10,and_resource_nmcts,random-prior:6,4359.47,3856,6623,6636,7,True,385.53
large_n10_3,10,and_resource_nmcts,random-prior:7,4359.47,3856,6623,6636,7,True,385.34
large_n10_4,10,and_resource_nmcts,random-prior:2,4451.279999999999,3936,6783,6797,7,True,311.34
large_n10_4,10,and_resource_nmcts,random-prior:3,4451.279999999999,3936,6783,6797,7,True,312.91
large_n10_4,10,and_resource_nmcts,random-prior:4,4451.279999999999,3936,6783,6797,7,True,313.84
large_n10_4,10,and_resource_nmcts,random-prior:5,4451.279999999999,3936,6783,6797,7,True,312.27
large_n10_4,10,and_resource_nmcts,random-prior:7,4451.279999999999,3936,6783,6797,7,True,310.66
large_n10_4,10,and_resource_nmcts,random-prior:6,4451.279999999999,3936,6783,6797,7,True,313.34
large_n10_5,10,and_resource_nmcts,,4476.06,3960,6795,6805,7,True,341.52
large_n10_5,10,and_resource_nmcts,models/action_scorer_v2.pt,4476.06,3960,6795,6805,7,True,342.95
large_n10_5,10,and_resource_nmcts,random-prior:0,4476.06,3960,6795,6805,7,True,342.28
large_n10_5,10,and_resource_nmcts,random-prior:1,4476.06,3960,6795,6805,7,True,343.43
large_n10_5,10,and_resource_nmcts,random-prior:2,4476.06,3960,6795,6805,7,True,343.25
large_n10_5,10,and_resource_nmcts,random-prior:3,4476.06,3960,6795,6805,7,True,343.43
large_n10_5,10,and_resource_nmcts,random-prior:4,4476.06,3960,6795,6805,7,True,342.13
large_n10_5,10,and_resource_nmcts,random-prior:5,4476.06,3960,6795,6805,7,True,343.16
large_n10_5,10,and_resource_nmcts,random-prior:6,4476.06,3960,6795,6805,7,True,342.85
large_n10_5,10,and_resource_nmcts,random-prior:7,4476.06,3960,6795,6805,7,True,343.58
large_n10_7,10,and_resource_nmcts,,4530.19,4008,6855,6856,8,True,377.5
large_n10_7,10,and_resource_nmcts,models/action_scorer_v2.pt,4530.19,4008,6855,6856,8,True,376.04
large_n10_6,10,and_resource_nmcts,,4566.48,4040,6910,6918,8,True,620.84
large_n10_6,10,and_resource_nmcts,models/action_scorer_v2.pt,4566.48,4040,6910,6918,8,True,626.27
large_n10_6,10,and_resource_nmcts,random-prior:0,4566.48,4040,6910,6918,8,True,634.01
large_n10_6,10,and_resource_nmcts,random-prior:1,4566.48,4040,6910,6918,8,True,633.9
large_n10_6,10,and_resource_nmcts,random-prior:3,4566.48,4040,6910,6918,8,True,629.32
large_n10_6,10,and_resource_nmcts,random-prior:2,4566.48,4040,6910,6918,8,True,632.1
large_n10_6,10,and_resource_nmcts,random-prior:5,4566.48,4040,6910,6918,8,True,632.91
large_n10_6,10,and_resource_nmcts,random-prior:4,4566.48,4040,6910,6918,8,True,636.63
large_n10_6,10,and_resource_nmcts,random-prior:6,4566.48,4040,6910,6918,8,True,630.62
large_n10_6,10,and_resource_nmcts,random-prior:7,4566.48,4040,6910,6918,8,True,632.24
