name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n6_0,True,0.6,0.9693640470504761,run_pareto,0.3029971122741699,5.832943916320801,6.135941028594971,131.04000000000002,117.735,117.735,112.0,100.0,100.0,217.0,197.0,197.0,224.0,199.0,199.0,100.0,87.0,87.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_1,True,0.6,0.8786277770996094,run_pareto,0.2447960376739502,4.419595956802368,4.664391994476318,111.405,100.07,100.07,96.0,84.0,84.0,189.0,166.0,166.0,197.0,174.0,174.0,89.0,82.0,82.0,2.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_10,True,0.6,0.9900319576263428,run_pareto,0.342944860458374,6.604764223098755,6.947709083557129,143.94500000000002,122.45499999999998,122.45499999999998,124.0,104.0,104.0,234.0,206.0,206.0,237.0,215.0,215.0,103.0,99.0,99.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_11,True,0.6,0.9567549228668213,run_pareto,0.38828611373901367,7.671300888061523,8.059587001800537,149.30499999999998,130.89999999999998,130.89999999999998,128.0,112.0,112.0,254.0,216.0,216.0,265.0,220.0,220.0,117.0,96.0,96.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_12,True,0.6,0.9844286441802979,run_pareto,0.3500051498413086,6.816765069961548,7.1667702198028564,149.185,136.22,136.22,128.0,116.0,116.0,253.0,236.0,236.0,261.0,244.0,244.0,115.0,112.0,112.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_13,True,0.6,0.9668378233909607,run_pareto,0.3103468418121338,5.932957887649536,6.24330472946167,133.15,118.45499999999998,118.45499999999998,116.0,100.0,100.0,222.0,206.0,206.0,222.0,215.0,215.0,94.0,99.0,99.0,2.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n6_14,True,0.6,0.9838016629219055,run_pareto,0.4595661163330078,7.006548881530762,7.4661149978637695,140.23000000000002,132.775,132.775,120.0,112.0,112.0,238.0,212.0,212.0,242.0,219.0,219.0,108.0,101.0,101.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_15,True,0.6,0.972239077091217,run_pareto,0.37518978118896484,7.174577951431274,7.549767732620239,137.36499999999998,123.935,123.935,116.0,104.0,104.0,223.0,197.0,197.0,229.0,207.0,207.0,101.0,95.0,95.0,4.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_16,True,0.6,0.9654631614685059,run_pareto,0.34664297103881836,6.700289964675903,7.046932935714722,144.57,120.065,120.065,124.0,100.0,100.0,243.0,199.0,199.0,250.0,209.0,209.0,110.0,97.0,97.0,3.0,4.0,4.0
raw_mcts_budget_policy_test_seed45:truth_n6_17,True,0.6,0.9948546886444092,run_pareto,0.3226661682128906,6.128144979476929,6.450811147689819,137.24,115.5,115.5,116.0,96.0,96.0,223.0,192.0,192.0,224.0,196.0,196.0,96.0,88.0,88.0,4.0,4.0,4.0
