name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0010_shallow,20,shallow,66,depth2_guard_direct,532.0699999999999,476,782,782,306,5,0.04283841700089397,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,depth_frontier_policy,532.0699999999999,476,782,782,306,5,0.04283841700089397,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,depth_policy,536.2249999999999,480,785,785,305,5,0.020800041005713865,True,5,0,True,65,66,0
terms_n20_0010_shallow,20,shallow,66,direct_logical_and,647.39,584,942,942,358,4,7.080016075633466e-07,True,1,0,True,66,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth1,536.2249999999999,480,785,785,305,5,0.020800041005713865,True,5,0,True,65,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth2,532.0699999999999,476,782,782,306,5,0.04283841700089397,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth3,532.0699999999999,476,782,782,306,5,0.054855583999597,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth4,532.0699999999999,476,782,782,306,5,0.0552307909965748,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,screen_single,566.6099999999999,508,826,826,318,5,0.005426625000836793,True,3,0,True,64,66,0
terms_n20_0011_mixed,20,mixed,108,adaptive_all_depth,1162.7849999999999,1048,1681,1681,633,8,5.213380501991196,True,9,0,True,109,108,0
terms_n20_0011_mixed,20,mixed,108,depth2_guard_direct,1175.705,1060,1697,1697,637,8,0.31422445899806917,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,depth_frontier_policy,1162.7849999999999,1048,1681,1681,633,8,3.5937639589974424,True,9,0,True,109,108,0
terms_n20_0011_mixed,20,mixed,108,depth_policy,1175.705,1060,1697,1697,637,8,0.31422445899806917,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,direct_logical_and,1347.77,1220,1938,1938,718,7,9.159994078800082e-07,True,1,0,True,108,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth1,1197.325,1080,1725,1725,645,8,0.06394766700395849,True,5,0,True,105,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth2,1175.705,1060,1697,1697,637,8,0.31422445899806917,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth3,1162.7849999999999,1048,1681,1681,633,8,1.231798416993115,True,9,0,True,109,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth4,1162.7849999999999,1048,1681,1681,633,8,3.5937639589974424,True,9,0,True,109,108,0
terms_n20_0011_mixed,20,mixed,108,screen_single,1234.3449999999998,1116,1777,1777,661,7,0.009645999998610932,True,3,0,True,103,108,0
terms_n20_0012_deep,20,deep,149,adaptive_all_depth,1628.77,1476,2362,2362,886,7,8.123228083997674,True,11,0,True,148,149,0
