threshold,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
0.9344705045223236,144,91,88,3,6,0/6/138,0.0004910016547621241,-0.20396120367934858,88/0/56,-0.02642977078880847,7.091472588861339
0.978415846824646,144,91,88,3,6,0/6/138,0.0004910016547621241,-0.20396120367934858,88/0/56,-0.02642977078880847,7.091472588861339
0.9812699854373932,144,90,87,3,7,0/7/137,0.0007677308132708267,-0.2102961792107966,87/0/57,-0.02616364641996133,7.0192902597926325
0.9841241240501404,144,90,87,3,7,0/7/137,0.0007677308132708267,-0.2102961792107966,87/0/57,-0.02616364641996133,7.0192902597926325
0.9844823479652405,144,89,86,3,8,0/8/136,0.0009832470108870734,-0.2160679361332569,86/0/58,-0.025954617301500532,6.9851109541008265
0.9848405718803406,144,89,86,3,8,0/8/136,0.0009832470108870734,-0.2160679361332569,86/0/58,-0.025954617301500532,6.9851109541008265
0.9894925355911255,144,88,85,3,9,0/9/135,0.0010182441787670948,-0.22146740094026712,85/0/59,-0.025919795620690633,6.960841195151585
0.9941444993019104,144,88,85,3,9,0/9/135,0.0010182441787670948,-0.22146740094026712,85/0/59,-0.025919795620690633,6.960841195151585
0.9956435561180115,144,87,84,3,10,0/10/134,0.001282625136752679,-0.22788386525397986,84/0/60,-0.025665110734817132,6.876446390569477
0.9971426129341125,144,87,84,3,10,0/10/134,0.001282625136752679,-0.22788386525397986,84/0/60,-0.025665110734817132,6.876446390569477
0.9971638917922974,144,86,83,3,11,0/11/133,0.0013521298018455779,-0.2333674618836823,83/0/61,-0.025596294825572647,6.850378971522519
0.9971851706504822,144,86,83,3,11,0/11/133,0.0013521298018455779,-0.2333674618836823,83/0/61,-0.025596294825572647,6.850378971522519
0.997574120759964,144,85,82,3,12,0/12/132,0.001552724329383438,-0.23979584909971388,82/0/62,-0.02540133192084831,6.763873879778322
0.9979630708694458,144,85,82,3,12,0/12/132,0.001552724329383438,-0.23979584909971388,82/0/62,-0.02540133192084831,6.763873879778322
0.9983979761600494,144,84,81,3,13,0/13/131,0.0017811131562066789,-0.2461684176766438,81/0/63,-0.025180215179440277,6.686490043591571
0.9988328814506531,144,84,81,3,13,0/13/131,0.0017811131562066789,-0.2461684176766438,81/0/63,-0.025180215179440277,6.686490043591571
0.999197781085968,144,83,80,3,14,0/14/130,0.0022731147618323174,-0.25246002051786476,80/0/64,-0.024720764819168718,6.619564642113425
0.999562680721283,144,83,80,3,14,0/14/130,0.0022731147618323174,-0.25246002051786476,80/0/64,-0.024720764819168718,6.619564642113425
0.9995691776275635,144,82,79,3,15,0/15/129,0.00245779444475388,-0.2588783583782623,79/0/65,-0.024540869256242076,6.534844564378698
0.999575674533844,144,82,79,3,15,0/15/129,0.00245779444475388,-0.2588783583782623,79/0/65,-0.024540869256242076,6.534844564378698
0.9996597170829773,144,81,78,3,16,0/16/128,0.002596134493310107,-0.2652438371318111,78/0/66,-0.024405231247971483,6.458493384574023
0.9997437596321106,144,81,78,3,16,0/16/128,0.002596134493310107,-0.2652438371318111,78/0/66,-0.024405231247971483,6.458493384574023
0.999753475189209,144,80,77,3,17,0/17/127,0.00282307483850262,-0.27159059613419173,77/0/67,-0.024185472489290757,6.384751057603301
0.9997631907463074,144,80,77,3,17,0/17/127,0.00282307483850262,-0.27159059613419173,77/0/67,-0.024185472489290757,6.384751057603301
0.9997808337211609,144,79,76,3,18,0/18/126,0.003053683619774079,-0.2779917641013532,76/0/68,-0.02396227555686927,6.302927976379862
0.9997984766960144,144,79,76,3,18,0/18/126,0.003053683619774079,-0.2779917641013532,76/0/68,-0.02396227555686927,6.302927976379862
0.9998091459274292,144,78,75,3,19,0/19/125,0.003526043725549128,-0.2841973844866793,75/0/69,-0.023519999036015062,6.244599358791748
0.999819815158844,144,78,75,3,19,0/19/125,0.003526043725549128,-0.2841973844866793,75/0/69,-0.023519999036015062,6.244599358791748
0.9998311102390289,144,77,74,3,20,0/20/124,0.004124327617775284,-0.290589764752486,74/0/70,-0.022969170600186172,6.1641892699988245
0.9998424053192139,144,77,74,3,20,0/20/124,0.004124327617775284,-0.290589764752486,74/0/70,-0.022969170600186172,6.1641892699988245
0.9998534917831421,144,76,73,3,21,0/21/123,0.0042038721064047305,-0.29690748853557924,73/0/71,-0.02289052692813426,6.0941850647242655
0.9998645782470703,144,76,73,3,21,0/21/123,0.0042038721064047305,-0.29690748853557924,73/0/71,-0.02289052692813426,6.0941850647242655
0.9998854398727417,144,75,72,3,22,0/22/122,0.004459116667725652,-0.30330612173333366,72/0/72,-0.02264433133907196,6.0127742234643
0.9999063014984131,144,75,72,3,22,0/22/122,0.004459116667725652,-0.30330612173333366,72/0/72,-0.02264433133907196,6.0127742234643
0.9999187588691711,144,74,72,2,22,0/22/122,0.004459116667725652,-0.30832167799017474,72/0/72,-0.02264433133907196,5.99471705871651
0.9999312162399292,144,74,72,2,22,0/22/122,0.004459116667725652,-0.30832167799017474,72/0/72,-0.02264433133907196,5.99471705871651
0.9999492168426514,144,73,71,2,23,0/23/121,0.005038929631745194,-0.3147070961545951,71/0/73,-0.022109198275671843,5.915394881420215
0.9999672174453735,144,73,71,2,23,0/23/121,0.005038929631745194,-0.3147070961545951,71/0/73,-0.022109198275671843,5.915394881420215
0.9999675154685974,144,72,70,2,24,0/24/120,0.00576257142660134,-0.32109224425914684,70/0/74,-0.02145384698132921,5.8361143585222495
0.9999678134918213,144,72,70,2,24,0/24/120,0.00576257142660134,-0.32109224425914684,70/0/74,-0.02145384698132921,5.8361143585222495
0.9999678730964661,144,71,69,2,25,0/25/119,0.0062399566546169965,-0.32748506288540674,69/0/75,-0.021007168016591624,5.75563485170805
0.9999679327011108,144,71,69,2,25,0/25/119,0.0062399566546169965,-0.32748506288540674,69/0/75,-0.021007168016591624,5.75563485170805
0.9999704360961914,144,70,68,2,26,0/26/118,0.006733583194140413,-0.3338847348894467,68/0/76,-0.020546300933256118,5.674055529043115
0.999972939491272,144,70,68,2,26,0/26/118,0.006733583194140413,-0.3338847348894467,68/0/76,-0.020546300933256118,5.674055529043115
0.9999772310256958,144,69,67,2,27,0/27/117,0.006865621647888667,-0.3401405677058943,67/0/77,-0.020416726154403864,5.610967306769077
0.9999815225601196,144,69,67,2,27,0/27/117,0.006865621647888667,-0.3401405677058943,67/0/77,-0.020416726154403864,5.610967306769077
0.9999831318855286,144,68,66,2,28,0/28/116,0.006991460846102465,-0.3465080022883689,66/0/78,-0.020293126682997,5.534333788650899
0.9999847412109375,144,68,66,2,28,0/28/116,0.006991460846102465,-0.3465080022883689,66/0/78,-0.020293126682997,5.534333788650899
0.9999861717224121,144,67,65,2,29,0/29/115,0.007380185785407756,-0.35291714737153296,65/0/79,-0.01992500771507057,5.4511878796777316
0.9999876022338867,144,67,65,2,29,0/29/115,0.007380185785407756,-0.35291714737153296,65/0/79,-0.01992500771507057,5.4511878796777316
0.9999896883964539,144,66,64,2,30,0/30/114,0.007443330914342358,-0.3590055657034202,64/0/80,-0.019862431584543542,5.401796065292509
0.999991774559021,144,66,64,2,30,0/30/114,0.007443330914342358,-0.3590055657034202,64/0/80,-0.019862431584543542,5.401796065292509
0.999992311000824,144,65,63,2,31,0/31/113,0.007802048065228184,-0.3654149760788642,63/0/81,-0.019521333925251867,5.3186054857522755
0.999992847442627,144,65,63,2,31,0/31/113,0.007802048065228184,-0.3654149760788642,63/0/81,-0.019521333925251867,5.3186054857522755
0.9999933242797852,144,64,62,2,32,0/32/112,0.008008050719057117,-0.37179196786968793,62/0/82,-0.01932126615812321,5.2405643224384875
0.9999938011169434,144,64,62,2,32,0/32/112,0.008008050719057117,-0.37179196786968793,62/0/82,-0.01932126615812321,5.2405643224384875
0.9999943375587463,144,63,61,2,33,0/33/111,0.008465684731540715,-0.3781739380745684,61/0/83,-0.018891925400108672,5.16177095837573
0.9999948740005493,144,63,61,2,33,0/33/111,0.008465684731540715,-0.3781739380745684,61/0/83,-0.018891925400108672,5.16177095837573
0.9999950528144836,144,62,60,2,34,0/34/110,0.008813514579101494,-0.3845817546272874,60/0/84,-0.018560686481249904,5.078848086220363
0.999995231628418,144,62,60,2,34,0/34/110,0.008813514579101494,-0.3845817546272874,60/0/84,-0.018560686481249904,5.078848086220363
0.9999955296516418,144,61,59,2,35,0/35/109,0.009294027071407179,-0.3907885993868355,59/0/85,-0.018111270769333478,5.020411119000088
0.9999958276748657,144,61,59,2,35,0/35/109,0.009294027071407179,-0.3907885993868355,59/0/85,-0.018111270769333478,5.020411119000088
0.9999960064888,144,60,58,2,36,0/36/108,0.009718610286783752,-0.39718864113834784,58/0/86,-0.017711150877356058,4.938771672754654
0.9999961853027344,144,60,58,2,36,0/36/108,0.009718610286783752,-0.39718864113834784,58/0/86,-0.017711150877356058,4.938771672754654
0.9999967217445374,144,59,58,1,36,0/36/108,0.009718610286783752,-0.40275296444579645,58/0/86,-0.017711150877356058,4.910773308666399
0.9999972581863403,144,59,58,1,36,0/36/108,0.009718610286783752,-0.40275296444579645,58/0/86,-0.017711150877356058,4.910773308666399
0.999997615814209,144,58,57,1,37,0/37/107,0.009902950612104873,-0.409169654593779,57/0/87,-0.01753157733299929,4.82633941859934
0.9999979734420776,144,58,57,1,37,0/37/107,0.009902950612104873,-0.409169654593779,57/0/87,-0.01753157733299929,4.82633941859934
0.9999987483024597,144,57,56,1,38,0/38/106,0.010377260974260326,-0.41557995428441447,56/0/88,-0.01708759150986862,4.742998770289286
0.9999995231628418,144,57,56,1,38,0/38/106,0.010377260974260326,-0.41557995428441447,56/0/88,-0.01708759150986862,4.742998770289286
0.9999995827674866,144,54,54,0,40,0/40/104,0.01125317419486731,-0.433426664872682,54/0/90,-0.01626560473664788,4.558381129461899
0.9999996423721313,144,54,54,0,40,0/40/104,0.01125317419486731,-0.433426664872682,54/0/90,-0.01626560473664788,4.558381129461899
0.9999997019767761,144,53,53,0,41,0/41/103,0.011393526694513325,-0.4398360325560466,53/0/91,-0.01612803267295682,4.4751977415096444
0.9999997615814209,144,53,53,0,41,0/41/103,0.011393526694513325,-0.4398360325560466,53/0/91,-0.01612803267295682,4.4751977415096444
0.9999998211860657,144,51,51,0,43,0/43/101,0.012195398046542526,-0.4526663483122951,51/0/93,-0.01537241734628214,4.3068387194010604
0.9999998807907104,144,51,51,0,43,0/43/101,0.012195398046542526,-0.4526663483122951,51/0/93,-0.01537241734628214,4.3068387194010604
0.9999999403953552,144,45,45,0,49,0/49/95,0.013999167454618124,-0.4911444899532873,45/0/99,-0.013666546325874215,3.8038069997729393
1.0,144,45,45,0,49,0/49/95,0.013999167454618124,-0.4911444899532873,45/0/99,-0.013666546325874215,3.8038069997729393
1.000000001,144,0,0,0,94,0/94/50,0.028368919007986975,-0.7798937881764992,0/0/144,0.0,0.0
