name,n,family,degree,degree_bucket,anf_terms,anf_bucket,onset_density,density_bucket,truth_table_hex,target_method,target_score,target_T,target_CNOT,direct_anf_score,direct_anf_score_delta_pct,esop_milp_score,esop_milp_score_delta_pct,sshr_h_score,sshr_h_score_delta_pct,abc_xag_score,abc_xag_score_delta_pct,caterpillar_api_score,caterpillar_api_score_delta_pct
truth_n4_52,4,random truth-table,3,degree 3,10,ANF > 2n,0.625000,onset balanced,17BE,and_pareto_resource_nmcts,19.915000,16.000000,30.000000,40.740000,-51.116838,24.260000,-17.910140,40.605000,-50.954316,88.245000,-77.432149,37.320000,-46.637192
truth_n4_53,4,random truth-table,4,degree >=4,10,ANF > 2n,0.312500,onset balanced,6142,and_pareto_resource_nmcts,26.855000,20.000000,45.000000,81.950000,-67.230018,30.675000,-12.453138,35.800000,-24.986034,52.785000,-49.123804,49.435000,-45.676140
truth_n4_54,4,random truth-table,4,degree >=4,8,ANF n..2n,0.312500,onset balanced,18C2,and_pareto_resource_nmcts,26.625000,20.000000,43.000000,65.105000,-59.104523,35.000000,-23.928571,48.420000,-45.012392,52.785000,-49.559534,43.080000,-38.196379
truth_n4_55,4,random truth-table,3,degree 3,8,ANF n..2n,0.625000,onset balanced,5BE6,and_pareto_resource_nmcts,15.815000,12.000000,29.000000,73.655000,-78.528274,35.025000,-54.846538,28.375000,-44.264317,90.345000,-82.494881,49.100000,-67.790224
truth_n4_56,4,random truth-table,3,degree 3,7,ANF n..2n,0.625000,onset balanced,D8F5,and_pareto_resource_nmcts,15.540000,12.000000,24.000000,31.955000,-51.369113,19.770000,-21.396055,28.265000,-45.020343,56.855000,-72.667312,30.835000,-49.602724
truth_n4_57,4,random truth-table,3,degree 3,8,ANF n..2n,0.375000,onset balanced,580D,and_pareto_resource_nmcts,15.410000,12.000000,22.000000,32.020000,-51.873829,15.420000,-0.064851,27.870000,-44.707571,65.305000,-76.403032,30.920000,-50.161708
truth_n4_58,4,random truth-table,3,degree 3,9,ANF > 2n,0.500000,onset balanced,9A8D,and_pareto_resource_nmcts,20.525000,16.000000,40.000000,61.240000,-66.484324,28.615000,-28.271885,23.905000,-14.139301,73.755000,-72.171378,43.105000,-52.383714
truth_n4_59,4,random truth-table,4,degree >=4,8,ANF n..2n,0.562500,onset balanced,43B7,and_pareto_resource_nmcts,26.440000,20.000000,39.000000,77.505000,-65.886072,30.485000,-13.268821,48.405000,-45.377544,90.345000,-70.734407,43.035000,-38.561636
truth_n4_6,4,random truth-table,3,degree 3,8,ANF n..2n,0.375000,onset balanced,3924,and_pareto_resource_nmcts,19.930000,16.000000,31.000000,53.050000,-62.431668,24.275000,-17.899073,28.100000,-29.074733,65.305000,-69.481663,49.145000,-59.446536
truth_n4_60,4,random truth-table,4,degree >=4,9,ANF > 2n,0.687500,onset balanced,CE9F,and_pareto_resource_nmcts,22.155000,16.000000,34.000000,77.570000,-71.438701,30.535000,-27.443917,40.435000,-45.208359,75.635000,-70.708006,55.190000,-59.856858
truth_n4_61,4,random truth-table,3,degree 3,8,ANF n..2n,0.500000,onset balanced,B1F,and_pareto_resource_nmcts,15.950000,12.000000,31.000000,69.725000,-77.124417,28.585000,-44.201504,19.255000,-17.164373,56.855000,-71.946179,42.990000,-62.898348
truth_n4_62,4,random truth-table,4,degree >=4,7,ANF n..2n,0.687500,onset balanced,BACF,and_pareto_resource_nmcts,21.975000,16.000000,32.000000,52.175000,-57.882127,26.120000,-15.869066,40.465000,-45.693809,77.825000,-71.763572,36.825000,-40.325866
truth_n4_63,4,random truth-table,4,degree >=4,8,ANF n..2n,0.562500,onset balanced,759C,and_pareto_resource_nmcts,22.530000,16.000000,39.000000,44.115000,-48.928936,30.635000,-26.456667,35.765000,-37.005452,71.565000,-68.518130,37.060000,-39.206692
