name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
truth_n4_60,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001468658447265625,9,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,CE9F
truth_n4_61,4,phase_parity_anf,7,24,36,36,0,0,4,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,0.00011301040649414062,8,1,12,12,5,7,0,4,7,1,True,phase oracle verified up to global phase,,,B1F
truth_n4_62,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001361370086669922,7,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,BACF
truth_n4_63,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001361370086669922,8,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,759C
truth_n4_7,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001430511474609375,8,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,23B8
truth_n4_8,4,phase_parity_anf,7,24,35,35,0,0,4,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,0.00011205673217773438,11,1,11,11,4,7,0,4,7,1,True,phase oracle verified up to global phase,,,BC89
truth_n4_9,4,phase_parity_anf,7,24,35,35,0,0,4,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,0.00011301040649414062,10,1,11,11,4,7,0,4,7,1,True,phase oracle verified up to global phase,,,1A3D
majority_n5,5,phase_parity_anf,0,90,115,115,0,0,5,6.4750000000000005,6.4750000000000005,21.475,28.975,36.475,66.475,156.475,467.725,928.975,1543.975,0.00040602684020996094,15,0,25,25,10,0,15,8,15,0,True,phase oracle verified up to global phase,,,FEE8E880
parity_n5,5,phase_parity_anf,0,0,5,5,0,0,5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,8.416175842285156e-05,5,0,5,5,5,0,0,1,0,1,True,phase oracle verified up to global phase,,,96696996
threshold2_n5,5,phase_parity_anf,10,90,120,120,0,0,5,16.599999999999998,16.599999999999998,31.599999999999998,39.099999999999994,46.599999999999994,76.6,166.6,477.85,939.1,1554.1,0.00042176246643066406,15,0,30,30,5,10,15,8,25,0,True,phase oracle verified up to global phase,,,FFFEFEE8
truth_n5_0,5,phase_parity_anf,5,64,88,88,0,0,5,9.760000000000002,9.760000000000002,25.76,33.760000000000005,41.760000000000005,73.76,169.76,501.76,993.76,1649.76,0.0003349781036376953,15,1,24,24,3,5,16,8,21,0,True,phase oracle verified up to global phase,,,89463E85
truth_n5_1,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.00043201446533203125,12,0,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,1FF49B78
truth_n5_10,5,phase_parity_anf,6,54,77,77,0,0,5,10.084999999999999,10.084999999999999,25.085,32.585,40.085,70.085,160.085,471.335,932.5849999999999,1547.585,0.0003249645233154297,15,0,23,23,2,6,15,8,21,0,True,phase oracle verified up to global phase,,,9E574F7A
truth_n5_11,5,phase_parity_anf,8,62,87,87,0,0,5,12.655,12.655,27.655,35.155,42.655,72.655,162.655,473.90500000000003,935.155,1550.155,0.00034880638122558594,15,1,25,25,2,8,15,8,23,0,True,phase oracle verified up to global phase,,,E2ACF72F
truth_n5_12,5,phase_parity_anf,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.000446319580078125,19,1,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,DC98D2C1
truth_n5_13,5,phase_parity_anf,8,90,118,118,0,0,5,14.549999999999999,14.549999999999999,29.549999999999997,37.05,44.55,74.55,164.55,475.8,937.05,1552.05,0.00040912628173828125,12,0,28,28,5,8,15,8,23,0,True,phase oracle verified up to global phase,,,5C941CF0
