dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_24,14,3,keep_all_bennett,True,2371,3440,3,2371,4742,53848,95025,96157,42309,2371,2372,2386,64258.445000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_24,14,3,fanout_checkpoint,True,2371,3440,3,287,4134860,46458088,81450093,82463211,36005123,288,316,303,51313723.115000,46404240,-2056,51249464.670000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_24,14,3,zero_checkpoint,True,2371,3440,3,0,14496126,94082544,174926175,178258657,84176113,1,30,16,104595291.985000,94028696,-2342,104531033.540000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_25,14,5,keep_all_bennett,True,3,2,5,3,6,80,147,151,71,3,4,18,96.855000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_25,14,5,fanout_checkpoint,True,3,2,5,0,10,112,211,217,105,1,4,16,132.745000,32,0,35.890000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_25,14,5,zero_checkpoint,True,3,2,5,0,10,112,211,217,105,1,4,16,132.745000,32,0,35.890000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_26,14,5,keep_all_bennett,True,4,3,5,4,8,88,161,165,77,4,5,19,107.685000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_26,14,5,fanout_checkpoint,True,4,3,5,0,14,128,239,245,117,1,5,16,152.405000,40,0,44.720000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_26,14,5,zero_checkpoint,True,4,3,5,0,14,128,239,245,117,1,5,16,152.405000,40,0,44.720000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_27,14,5,keep_all_bennett,True,38,43,5,38,76,1392,2507,2541,1149,38,40,53,1621.885000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
