CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
133,80,13,True,133,,0,53,and_direct_anf,5,6,sweep_truth_n5_11,3,t_heavy,T-heavy,85.92500000000001,,13,8.487701416015625e-05,9A1DE644
106,52,13,True,106,,1,46,and_mcts_factor,5,7,sweep_truth_n5_11,2,t_heavy,T-heavy,56.35,,13,0.04728412628173828,9A1DE644
75,36,10,True,75,,1,33,and_affine_nmcts,5,7,sweep_truth_n5_7,2,t_heavy,T-heavy,39.665,,10,2.734485149383545,17FC695A
92,56,13,True,110,,0,54,and_cube_beam,5,6,sweep_truth_n5_11,3,t_heavy,T-heavy,61.2,,13,0.00865316390991211,9A1DE644
110,116,13,True,142,,0,59,sshr_h,5,6,sweep_truth_n5_11,2,t_heavy,T-heavy,120.655,,13,0.003876924514770508,9A1DE644
432,268,31,True,433,,0,165,and_direct_anf,6,7,sweep_truth_n6_0,4,t_heavy,T-heavy,281.47,,31,0.00017499923706054688,8FADC1A606CB0FB3
73,36,15,True,80,,1,40,and_affine_nmcts,5,7,sweep_truth_n5_3,2,t_heavy,T-heavy,39.695,,10,3.0584850311279297,972A8469
82,36,12,True,84,,1,38,and_affine_nmcts,5,7,sweep_truth_n5_4,2,t_heavy,T-heavy,39.839999999999996,,8,3.389953851699829,6C031199
258,160,31,True,326,,0,166,and_cube_beam,6,7,sweep_truth_n6_0,4,t_heavy,T-heavy,170.33,,31,0.06491899490356445,8FADC1A606CB0FB3
299,152,31,True,300,,2,126,and_mcts_factor,6,9,sweep_truth_n6_0,3,t_heavy,T-heavy,161.615,,31,0.6484277248382568,8FADC1A606CB0FB3
524,324,39,True,525,,0,201,and_direct_anf,6,7,sweep_truth_n6_1,3,t_heavy,T-heavy,338.49,,39,0.00019884109497070312,B74D0FB132E70629
91,40,17,True,101,,1,51,and_affine_nmcts,5,7,sweep_truth_n5_1,2,t_heavy,T-heavy,44.12500000000001,,10,3.990079879760742,8B9D2434
