name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches
terms_n20_0030_deep,20,deep,196,depth_policy,2109.6749999999997,1916,3059,3059,1143,7,0.6307721670018509,True,7,0
terms_n20_0030_deep,20,deep,196,direct_logical_and,2412.89,2196,3490,3490,1294,6,7.499984349124134e-07,True,1,0
terms_n20_0030_deep,20,deep,196,screen_depth1,2203.57,2004,3194,3194,1190,6,0.13161979200231144,True,5,0
terms_n20_0030_deep,20,deep,196,screen_depth2,2109.6749999999997,1916,3059,3059,1143,7,0.6307721670018509,True,7,0
terms_n20_0030_deep,20,deep,196,screen_single,2299.4649999999997,2092,3329,3329,1237,6,0.019463083997834474,True,3,0
terms_n20_0031_shallow,20,shallow,31,adaptive_all_depth,173.79500000000002,156,267,267,111,1,0.015942667007038835,True,3,0
terms_n20_0031_shallow,20,shallow,31,depth2_guard_direct,173.79500000000002,156,267,267,111,1,0.006736667004588526,True,3,0
terms_n20_0031_shallow,20,shallow,31,depth_policy,173.79500000000002,156,267,267,111,1,0.002467042002535891,True,3,0
terms_n20_0031_shallow,20,shallow,31,direct_logical_and,182.365,164,277,277,113,1,7.499984349124134e-07,True,1,0
terms_n20_0031_shallow,20,shallow,31,screen_depth1,173.79500000000002,156,267,267,111,1,0.006738957999914419,True,3,0
terms_n20_0031_shallow,20,shallow,31,screen_depth2,173.79500000000002,156,267,267,111,1,0.006736667004588526,True,3,0
