CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
28,20,7,True,30,,0,12,32,external_sshr_i_cnot,4,5,truth_n4_15,8,1,truth_n4_15,23.69,,benchmark_exports/traditional_resource_external_seed42,0.5670831203460693,972A
28,20,7,True,33,,0,15,32,external_sshr_i_t,4,5,truth_n4_15,8,1,truth_n4_15,23.765,,benchmark_exports/traditional_resource_external_seed42,0.5370519161224365,972A
18,28,4,True,20,,0,6,34,external_sshr_h,4,5,truth_n4_17,3,1,truth_n4_17,31.08,,benchmark_exports/traditional_resource_external_seed42,7.295608520507812e-05,822
23,20,8,True,31,,0,13,33,external_sshr_i_cnot,4,5,truth_n4_16,6,1,truth_n4_16,23.515,,benchmark_exports/traditional_resource_external_seed42,0.2387080192565918,6C03
24,32,10,True,34,,0,15,31,external_sshr_i_t,4,5,truth_n4_14,5,1,truth_n4_14,35.62,,benchmark_exports/traditional_resource_external_seed42,0.8065869808197021,1641
34,44,6,True,44,,0,17,35,external_sshr_h,4,5,truth_n4_18,5,1,truth_n4_18,48.19,,benchmark_exports/traditional_resource_external_seed42,0.00011515617370605469,7A0
18,28,4,True,20,,0,6,34,external_sshr_i_cnot,4,5,truth_n4_17,3,1,truth_n4_17,31.08,,benchmark_exports/traditional_resource_external_seed42,0.11975979804992676,822
20,28,6,True,26,,0,12,35,external_sshr_i_cnot,4,5,truth_n4_18,5,1,truth_n4_18,31.310000000000002,,benchmark_exports/traditional_resource_external_seed42,0.11983394622802734,7A0
23,20,8,True,31,,0,13,36,external_sshr_h,4,5,truth_n4_19,10,1,truth_n4_19,23.515,,benchmark_exports/traditional_resource_external_seed42,0.00017714500427246094,17FC
24,20,8,True,28,,0,10,33,external_sshr_i_t,4,5,truth_n4_16,6,1,truth_n4_16,23.480000000000004,,benchmark_exports/traditional_resource_external_seed42,0.3827488422393799,6C03
18,28,4,True,22,,0,8,34,external_sshr_i_t,4,5,truth_n4_17,3,1,truth_n4_17,31.129999999999995,,benchmark_exports/traditional_resource_external_seed42,0.3660612106323242,822
29,24,6,True,39,,0,16,37,external_sshr_h,4,5,truth_n4_20,10,1,truth_n4_20,27.905,,benchmark_exports/traditional_resource_external_seed42,0.00020003318786621094,37F8
23,20,8,True,31,,0,13,36,external_sshr_i_cnot,4,5,truth_n4_19,10,1,truth_n4_19,23.515,,benchmark_exports/traditional_resource_external_seed42,0.20023298263549805,17FC
20,28,6,True,26,,0,12,35,external_sshr_i_t,4,5,truth_n4_18,5,1,truth_n4_18,31.310000000000002,,benchmark_exports/traditional_resource_external_seed42,0.3221621513366699,7A0
25,20,6,True,29,,0,11,38,external_sshr_h,4,5,truth_n4_21,10,1,truth_n4_21,23.544999999999998,,benchmark_exports/traditional_resource_external_seed42,0.00012302398681640625,3B8F
23,20,8,True,30,,0,12,36,external_sshr_i_t,4,5,truth_n4_19,10,1,truth_n4_19,23.490000000000002,,benchmark_exports/traditional_resource_external_seed42,0.21426820755004883,17FC
24,20,6,True,29,,0,11,38,external_sshr_i_cnot,4,5,truth_n4_21,10,1,truth_n4_21,23.505,,benchmark_exports/traditional_resource_external_seed42,0.13558411598205566,3B8F
38,48,9,True,50,,0,18,39,external_sshr_h,4,5,truth_n4_22,7,1,truth_n4_22,52.45,,benchmark_exports/traditional_resource_external_seed42,0.00015807151794433594,815E
25,20,6,True,33,,0,15,37,external_sshr_i_t,4,5,truth_n4_20,10,1,truth_n4_20,23.645,,benchmark_exports/traditional_resource_external_seed42,0.26936888694763184,37F8
25,20,6,True,33,,0,15,37,external_sshr_i_cnot,4,5,truth_n4_20,10,1,truth_n4_20,23.645,,benchmark_exports/traditional_resource_external_seed42,0.2944512367248535,37F8
27,20,7,True,33,,0,15,40,external_sshr_h,4,5,truth_n4_23,8,1,truth_n4_23,23.724999999999998,,benchmark_exports/traditional_resource_external_seed42,0.0001239776611328125,9A1D
24,20,7,True,30,,0,12,40,external_sshr_i_cnot,4,5,truth_n4_23,8,1,truth_n4_23,23.53,,benchmark_exports/traditional_resource_external_seed42,0.21404600143432617,9A1D
21,28,9,True,33,,0,19,39,external_sshr_i_cnot,4,5,truth_n4_22,7,1,truth_n4_22,31.525000000000002,,benchmark_exports/traditional_resource_external_seed42,0.5188338756561279,815E
25,20,6,True,27,,0,9,38,external_sshr_i_t,4,5,truth_n4_21,10,1,truth_n4_21,23.495,,benchmark_exports/traditional_resource_external_seed42,0.5453047752380371,3B8F
32,36,12,True,50,,0,26,41,external_sshr_h,4,5,truth_n4_24,7,1,truth_n4_24,40.29,,benchmark_exports/traditional_resource_external_seed42,0.0003478527069091797,6CB
24,20,7,True,30,,0,12,40,external_sshr_i_t,4,5,truth_n4_23,8,1,truth_n4_23,23.53,,benchmark_exports/traditional_resource_external_seed42,0.5092720985412598,9A1D
23,20,7,True,29,,0,11,42,external_sshr_h,4,5,truth_n4_25,10,1,truth_n4_25,23.465,,benchmark_exports/traditional_resource_external_seed42,0.00012302398681640625,8FAD
22,20,7,True,29,,0,11,42,external_sshr_i_cnot,4,5,truth_n4_25,10,1,truth_n4_25,23.424999999999997,,benchmark_exports/traditional_resource_external_seed42,0.18607473373413086,8FAD
24,32,12,True,34,,0,15,41,external_sshr_i_cnot,4,5,truth_n4_24,7,1,truth_n4_24,35.62,,benchmark_exports/traditional_resource_external_seed42,0.5163121223449707,6CB
29,32,8,True,39,,0,20,43,external_sshr_h,4,5,truth_n4_26,9,1,truth_n4_26,35.945,,benchmark_exports/traditional_resource_external_seed42,0.00036406517028808594,32E7
21,28,9,True,33,,0,19,39,external_sshr_i_t,4,5,truth_n4_22,7,1,truth_n4_22,31.525000000000002,,benchmark_exports/traditional_resource_external_seed42,0.9403293132781982,815E
23,20,7,True,28,,0,10,42,external_sshr_i_t,4,5,truth_n4_25,10,1,truth_n4_25,23.440000000000005,,benchmark_exports/traditional_resource_external_seed42,0.30199289321899414,8FAD
33,24,9,True,47,,0,24,44,external_sshr_h,4,5,truth_n4_27,10,1,truth_n4_27,28.264999999999997,,benchmark_exports/traditional_resource_external_seed42,0.0002281665802001953,B74D
26,32,8,True,35,,0,16,43,external_sshr_i_cnot,4,5,truth_n4_26,9,1,truth_n4_26,35.724999999999994,,benchmark_exports/traditional_resource_external_seed42,0.5300359725952148,32E7
23,20,9,True,32,,0,14,44,external_sshr_i_cnot,4,5,truth_n4_27,10,1,truth_n4_27,23.540000000000003,,benchmark_exports/traditional_resource_external_seed42,0.2535250186920166,B74D
25,32,9,True,37,,0,18,45,external_sshr_h,4,5,truth_n4_28,9,1,truth_n4_28,35.735,,benchmark_exports/traditional_resource_external_seed42,0.00015473365783691406,A65E
26,32,8,True,35,,0,16,43,external_sshr_i_t,4,5,truth_n4_26,9,1,truth_n4_26,35.724999999999994,,benchmark_exports/traditional_resource_external_seed42,0.7072389125823975,32E7
20,28,9,True,29,,0,15,45,external_sshr_i_cnot,4,5,truth_n4_28,9,1,truth_n4_28,31.384999999999998,,benchmark_exports/traditional_resource_external_seed42,0.2858922481536865,A65E
25,20,7,True,31,,0,13,46,external_sshr_h,4,5,truth_n4_29,8,1,truth_n4_29,23.595,,benchmark_exports/traditional_resource_external_seed42,0.00012302398681640625,B38A
23,20,9,True,32,,0,14,44,external_sshr_i_t,4,5,truth_n4_27,10,1,truth_n4_27,23.540000000000003,,benchmark_exports/traditional_resource_external_seed42,0.3265190124511719,B74D
