CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
36,16,11,True,39,1,21,and_resource_nmcts,4,6,truth_n4_39,2,22.235000000000003,,7,0.05438685417175293,C241
39,16,7,True,46,1,26,and_affine_nmcts,4,6,truth_n4_40,1,20.51,,6,0.028920650482177734,CE4A
39,16,7,True,46,1,26,and_resource_nmcts,4,6,truth_n4_40,1,20.51,,6,0.031671762466430664,CE4A
34,16,6,True,35,1,17,and_affine_nmcts,4,6,truth_n4_41,2,22.055,,5,0.046463966369628906,28DF
34,16,6,True,35,1,17,and_resource_nmcts,4,6,truth_n4_41,2,22.055,,5,0.049715280532836914,28DF
27,12,5,True,29,1,15,and_pareto_resource_nmcts,4,6,truth_n4_34,2,17.665,,5,0.3743019104003906,96DA
46,20,11,True,55,1,33,and_affine_nmcts,4,6,truth_n4_42,2,26.994999999999997,,7,0.05415987968444824,B2B9
39,20,6,True,42,1,20,and_pareto_resource_nmcts,4,6,truth_n4_35,2,26.389999999999997,,6,0.3627159595489502,4737
31,16,6,True,40,0,24,and_affine_nmcts,4,5,truth_n4_43,1,20.08,,6,0.01630401611328125,6C30
46,20,11,True,55,1,33,and_resource_nmcts,4,6,truth_n4_42,2,26.994999999999997,,7,0.05857205390930176,B2B9
31,16,6,True,40,0,24,and_resource_nmcts,4,5,truth_n4_43,1,20.08,,6,0.016856670379638672,6C30
27,12,10,True,31,0,19,and_affine_nmcts,4,5,truth_n4_44,1,15.735,,3,0.013566970825195312,571A
27,12,10,True,31,0,19,and_resource_nmcts,4,5,truth_n4_44,1,15.735,,3,0.018498897552490234,571A
33,16,9,True,42,1,24,and_pareto_resource_nmcts,4,6,truth_n4_37,2,22.189999999999998,,4,0.40300798416137695,DE8A
32,16,8,True,36,1,18,and_pareto_resource_nmcts,4,6,truth_n4_38,2,22.0,,4,0.36704301834106445,1A9
