CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
430,680,35,True,430,,0,35,direct_anf,6,7,threshold3_n6,1,706.0000000000001,,35,0.00016999244689941406,FFFEFEE8FEE8E880
545,340,35,True,545,,0,205,and_direct_anf,6,7,threshold3_n6,2,376.02500000000003,,35,0.00015497207641601562,FFFEFEE8FEE8E880
219,108,15,True,219,,1,87,and_fprm_mcts,6,8,majority_n6,2,124.915,,15,7.485562086105347,FEE8E880E8808000
234,240,15,True,234,,1,25,fprm_mcts,6,8,majority_n6,2,257.12,,15,8.26828908920288,FEE8E880E8808000
414,376,35,True,414,,1,49,greedy_factor,6,8,threshold3_n6,2,403.26,,35,0.00477910041809082,FFFEFEE8FEE8E880
401,360,35,True,401,,1,49,mcts_factor,6,8,threshold3_n6,2,386.545,,35,1.3794598579406738,FFFEFEE8FEE8E880
375,192,35,True,375,,1,155,and_mcts_factor,6,8,threshold3_n6,2,218.175,,35,1.3205111026763916,FFFEFEE8FEE8E880
246,264,35,True,259,,1,34,fprm_greedy,6,8,threshold3_n6,2,282.06499999999994,,16,0.12379693984985352,FFFEFEE8FEE8E880
234,240,35,True,247,,1,38,fprm_mcts,6,8,threshold3_n6,2,257.44500000000005,,16,10.642586946487427,FFFEFEE8FEE8E880
200,96,15,True,202,,1,84,and_affine_nmcts,6,8,majority_n6,2,111.87,,15,27.210119009017944,FEE8E880E8808000
219,108,35,True,232,,1,100,and_fprm_mcts,6,8,threshold3_n6,2,125.24000000000001,,16,9.812916278839111,FFFEFEE8FEE8E880
250,516,35,True,361,,0,126,cube_greedy,6,7,threshold3_n6,2,536.675,,35,0.006573915481567383,FFFEFEE8FEE8E880
195,412,35,True,277,,0,96,cube_beam,6,7,threshold3_n6,2,428.91499999999996,,35,0.030176877975463867,FFFEFEE8FEE8E880
401,360,35,True,401,,1,49,neural_mcts,6,8,threshold3_n6,2,386.545,,35,1.9311602115631104,FFFEFEE8FEE8E880
141,184,35,True,175,,0,83,sshr_h,6,7,threshold3_n6,2,197.095,,35,0.3019108772277832,FFFEFEE8FEE8E880
7,0,7,True,7,,0,7,direct_anf,7,8,parity_n7,0,0.455,,7,9.894371032714844e-05,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_direct_anf,7,8,parity_n7,0,0.455,,7,9.489059448242188e-05,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_rc_nmcts,7,8,parity_n7,0,0.455,,7,0.026562213897705078,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_affine_nmcts,7,8,parity_n7,0,0.455,,7,0.017311811447143555,96696996699696696996966996696996
7,0,7,True,7,,0,7,greedy_factor,7,8,parity_n7,0,0.455,,7,0.0001068115234375,96696996699696696996966996696996
7,0,7,True,7,,0,7,mcts_factor,7,8,parity_n7,0,0.455,,7,0.0001430511474609375,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_mcts_factor,7,8,parity_n7,0,0.455,,7,0.00014901161193847656,96696996699696696996966996696996
7,0,7,True,7,,0,7,fprm_greedy,7,8,parity_n7,0,0.455,,7,0.0034210681915283203,96696996699696696996966996696996
7,0,7,True,7,,0,7,fprm_mcts,7,8,parity_n7,0,0.455,,7,0.003968000411987305,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_fprm_mcts,7,8,parity_n7,0,0.455,,7,0.003803253173828125,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_fprm_neural_mcts,7,8,parity_n7,0,0.455,,7,0.007867097854614258,96696996699696696996966996696996
1408,3072,7,True,1408,,0,64,cube_greedy,7,8,parity_n7,3,3156.08,,7,0.031616926193237305,96696996699696696996966996696996
