name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,revkit_lower_score,revkit_non_clifford_rz,model,epsilon,t_per_rz,extra_T,revkit_synth_T,revkit_synth_depth,revkit_synth_gates,revkit_synth_score,relative,win
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,selinger_su2,0.001,50,6350.0,6350.0,6598.0,6605.0,6520.06,-0.9834180973794721,1
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,selinger_su2,1e-06,90,11430.0,11430.0,11678.0,11685.0,11727.060000000001,-0.9907807242394939,1
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,selinger_su2,1e-10,143,18161.0,18161.0,18409.0,18416.0,18626.335,-0.9941955838333197,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,ross_selinger_z,0.001,30,3810.0,3810.0,4058.0,4065.0,3916.56,-0.9499433176052454,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,ross_selinger_z,1e-06,60,7620.0,7620.0,7868.0,7875.0,7821.81,-0.9749354689004207,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,ross_selinger_z,1e-10,100,12700.0,12700.0,12948.0,12955.0,13028.81,-0.9849525781709919,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,selinger_su2,0.001,50,6350.0,6350.0,6598.0,6605.0,6520.06,-0.969931258301304,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,selinger_su2,1e-06,90,11430.0,11430.0,11678.0,11685.0,11727.060000000001,-0.9832822548874143,1
majority_n6,6,traditional_baseline_family,sshr_h,196.05,184.0,128.0,11.31,127.0,selinger_su2,1e-10,143,18161.0,18161.0,18409.0,18416.0,18626.335,-0.9894745799428605,1
mul_w2_bit1,4,resource_nmcts_family,and_fprm_polarity_archive,8.830000000000002,8.0,14.0,2.6999999999999997,31.0,ross_selinger_z,0.001,30,930.0,930.0,988.0,993.0,955.95,-0.9907631152256917,1
