CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,model,n,n_qubits,name,peak_ancilla,random_seed,score,skipped,terms,time_s,truth_table_hex,variant
39,20,6,True,42,1,20,and_affine_nmcts,random-prior:1001,4,6,truth_n4_35,2,1001,26.389999999999997,,6,0.060762882232666016,4737,random_prior
33,16,9,True,37,1,19,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_28,2,1001,22.065,,5,0.5337178707122803,A65E,random_prior
32,16,8,True,37,0,21,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_32,1,1001,20.045,,7,0.2559220790863037,386E,random_prior
25,12,9,True,29,0,17,and_affine_nmcts,random-prior:1001,4,5,truth_n4_36,1,1001,15.605,,5,0.020675182342529297,CF36,random_prior
22,12,6,True,27,0,15,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_33,1,1001,15.435,,3,0.22929811477661133,72FF,random_prior
39,20,6,True,42,1,20,and_resource_nmcts,random-prior:1001,4,6,truth_n4_35,2,1001,26.389999999999997,,6,0.07319927215576172,4737,random_prior
25,12,9,True,29,0,17,and_resource_nmcts,random-prior:1001,4,5,truth_n4_36,1,1001,15.605,,5,0.02979898452758789,CF36,random_prior
33,16,9,True,42,1,24,and_affine_nmcts,random-prior:1001,4,6,truth_n4_37,2,1001,22.189999999999998,,4,0.06777596473693848,DE8A,random_prior
33,16,9,True,42,1,24,and_resource_nmcts,random-prior:1001,4,6,truth_n4_37,2,1001,22.189999999999998,,4,0.09552717208862305,DE8A,random_prior
32,16,8,True,36,1,18,and_affine_nmcts,random-prior:1001,4,6,truth_n4_38,2,1001,22.0,,4,0.06403493881225586,1A9,random_prior
32,16,8,True,36,1,18,and_resource_nmcts,random-prior:1001,4,6,truth_n4_38,2,1001,22.0,,4,0.07819819450378418,1A9,random_prior
78,40,15,True,89,1,43,and_pareto_resource_nmcts,random-prior:1001,5,7,threshold2_n5,2,1001,48.885,,6,3.767117738723755,FFFEFEE8,random_prior
33,16,10,True,39,1,21,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_31,2,1001,22.115000000000002,,5,0.5894579887390137,6B65,random_prior
25,12,9,True,29,0,17,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_36,1,1001,15.605,,5,0.2373361587524414,CF36,random_prior
36,16,11,True,39,1,21,and_affine_nmcts,random-prior:1001,4,6,truth_n4_39,2,1001,22.235000000000003,,7,0.06913089752197266,C241,random_prior
39,16,7,True,41,1,21,and_affine_nmcts,random-prior:1001,4,6,truth_n4_40,1,1001,20.384999999999998,,5,0.037954092025756836,CE4A,random_prior
36,16,11,True,39,1,21,and_resource_nmcts,random-prior:1001,4,6,truth_n4_39,2,1001,22.235000000000003,,7,0.08285999298095703,C241,random_prior
39,16,7,True,41,1,21,and_resource_nmcts,random-prior:1001,4,6,truth_n4_40,1,1001,20.384999999999998,,5,0.04974102973937988,CE4A,random_prior
27,12,5,True,29,1,15,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_34,2,1001,17.665,,5,0.4628620147705078,96DA,random_prior
27,12,6,True,29,1,15,and_affine_nmcts,random-prior:1001,4,6,truth_n4_41,2,1001,17.665,,3,0.06156206130981445,28DF,random_prior
27,12,6,True,29,1,15,and_resource_nmcts,random-prior:1001,4,6,truth_n4_41,2,1001,17.665,,3,0.07273316383361816,28DF,random_prior
41,20,11,True,48,1,26,and_affine_nmcts,random-prior:1001,4,6,truth_n4_42,2,1001,26.62,,6,0.07042193412780762,B2B9,random_prior
39,20,6,True,42,1,20,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_35,2,1001,26.389999999999997,,6,0.4916071891784668,4737,random_prior
30,16,6,True,32,0,16,and_affine_nmcts,random-prior:1001,4,5,truth_n4_43,1,1001,19.84,,4,0.02004694938659668,6C30,random_prior
41,20,11,True,48,1,26,and_resource_nmcts,random-prior:1001,4,6,truth_n4_42,2,1001,26.62,,6,0.08594417572021484,B2B9,random_prior
30,16,6,True,32,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_43,1,1001,19.84,,4,0.027988910675048828,6C30,random_prior
27,12,10,True,31,0,19,and_affine_nmcts,random-prior:1001,4,5,truth_n4_44,1,1001,15.735,,3,0.016199350357055664,571A,random_prior
27,12,10,True,31,0,19,and_resource_nmcts,random-prior:1001,4,5,truth_n4_44,1,1001,15.735,,3,0.031138896942138672,571A,random_prior
